gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
3970124454;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124456;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124461;Acianthera polystachya;4.57840;-74.28833;SOUTH_AMERICA;CO
3970124462;Acianthera polystachya;4.57838;-74.28830;SOUTH_AMERICA;CO
3970124466;Acianthera polystachya;4.57838;-74.28830;SOUTH_AMERICA;CO
3970124468;Acianthera polystachya;4.57842;-74.28837;SOUTH_AMERICA;CO
3970124469;Acianthera polystachya;4.57837;-74.28823;SOUTH_AMERICA;CO
3970124486;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124491;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124492;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124497;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124498;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124499;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124866;Acianthera polystachya;4.57842;-74.28833;SOUTH_AMERICA;CO
3970124868;Acianthera polystachya;4.57837;-74.28823;SOUTH_AMERICA;CO
3970124869;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124872;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124873;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970124876;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124877;Acianthera polystachya;4.57842;-74.28833;SOUTH_AMERICA;CO
3970124879;Acianthera polystachya;4.57837;-74.28832;SOUTH_AMERICA;CO
3970124881;Acianthera polystachya;4.57837;-74.28823;SOUTH_AMERICA;CO
3970124882;Acianthera polystachya;4.57840;-74.28827;SOUTH_AMERICA;CO
3970125151;Acianthera polystachya;4.57748;-74.28670;SOUTH_AMERICA;CO
3971126301;Acianthera hatschbachii;-26.27889;-50.49556;SOUTH_AMERICA;BR
3971126305;Acianthera recurva;-26.27889;-50.49556;SOUTH_AMERICA;BR
3971143371;Acianthera luteola;-25.30778;-49.03333;SOUTH_AMERICA;BR
3971143678;Acianthera luteola;-26.18944;-51.82556;SOUTH_AMERICA;BR
3985871831;Acianthera polystachya;1.67269;-76.21935;SOUTH_AMERICA;CO
3986496320;Acianthera crinita;;;SOUTH_AMERICA;BR
